143                                                                                       235464
667                                                                                       176664
3599                                                                                      161168
9797                                                                                      187851
47941                                                                                     168834
250997                                                                                    179340
826277                                                                                    169984
1185917                                                                                   171219
16524161                                                                                  175620
23184221                                                                                  178433
72369013                                                                                  543279
271920091                                                                                 488643
2736022213                                                                                458494
11125819297                                                                               766928
44989803583                                                                               738292
78255026981                                                                               911185
383198140891                                                                              1427191
1546899137527                                                                             1120835
16738277467511                                                                            1745261
20884315044071                                                                            1934412
228765413250013                                                                           2801127
594178260595903                                                                           11770436
3931590213331211                                                                          83085892
12641918184601081                                                                         57086326
19796099137329257                                                                         76675021
174726991220801963                                                                        15614353
411218917473114943                                                                        13918880
1661134288989900133                                                                       13700104
6341587993234457657                                                                       15247259
39265162030475391919                                                                      10135171
248056721043657571159                                                                     12275294
943097746603060247363                                                                     22710167
1220625578385518235587                                                                    14156520
13652073596669207653813                                                                   18517643
48258673849237044972091                                                                   22433368
131078019159325792867591                                                                  17858712
873697032738996675949451                                                                  26717230
2891559662680837536052607                                                                 58127573
10815137440260036022658683                                                                42578689
23007022433761651808192093                                                                53021309
248850940755118811725334633                                                               54761511
625478291741049616405343789                                                               47719316
1655682128113752815846605007                                                              137215956
16162141726789159091996251241                                                             82898240
54115579500260550568394270573                                                             116977970
103856582954978438340597206543                                                            260790502
566293503091409935259293643003                                                            237497509
