3                   50426
7                   28162
15                  16682
31                  243936
63                  75120
127                 42767
255                 54628
511                 61306
1023                70898
2047                198583
4094                93395
8191                135157
16380               110374
32751               101391
65504               151979
131018              123734
261886              178177
524228              198702
1048136             156668
2097074             176499
4188657             176378
8382003             159649
16774016            174944
33482332            162174
67059632            186071
134192378           160813
268198849           204492
536753697           190810
1072719358          236225
2146545078          232184
4291684276          217474
8584447795          245746
17172620351         216472
34351967261         242288
68662735802         261330
137417021596        279918
274866636800        281896
549443132889        286831
1099387824778       325522
2198386462989       336984
